time_s,total_rate_gbps,reconstructed_rate_gbps,ecn_marks
0.102916,191.7,191.7,79
0.102924,157.905,158.103,80
0.102933,174.407,174.901,110
0.102941,153.162,153.162,82
0.102949,194.466,194.664,90
0.102957,229.249,229.249,126
0.102965,444.664,444.664,125
0.102973,348.814,348.814,126
0.102981,252.964,252.964,126
0.102989,251.482,251.976,126
0.102997,240.217,240.119,126
0.103005,238.488,238.142,81
0.103014,348.814,348.814,61
0.103022,354.743,354.743,57
0.10303,328.557,329.051,56
0.103038,236.759,237.154,58
0.103046,189.427,189.723,84
0.103054,187.352,187.747,52
0.103062,298.419,298.419,32
0.10307,181.423,181.818,28
0.103078,180.04,179.842,19
0.103086,180.83,180.83,8
0.103094,161.413,161.067,0
0.103103,157.46,157.115,0
0.103111,190.711,190.711,0
0.103119,298.024,298.419,0
0.103127,373.518,373.518,0
0.103135,427.569,427.866,0
0.103143,367.935,367.589,0
0.103151,340.909,340.909,0
0.103159,195.455,195.652,0
0.103167,195.85,195.652,0
0.103175,268.775,268.775,0
0.103184,241.107,241.107,0
0.103192,203.162,203.557,0
0.1032,307.806,308.3,1
0.103208,444.664,444.664,0
0.103216,421.344,420.949,0
0.103224,366.107,366.601,1
0.103232,335.672,335.968,3
0.10324,335.079,334.98,1
0.103248,443.676,443.676,2
0.103256,427.767,427.866,2
0.103264,483.202,483.202,4
0.103273,564.625,564.229,5
0.103281,517.144,516.798,10
0.103289,470.356,470.356,13
0.103297,433.103,432.806,14
0.103305,350.791,350.791,16
0.103313,292.49,292.49,17
0.103321,286.561,286.561,9
0.103329,267.49,267.787,11
0.103337,236.858,237.154,10
0.103345,259.881,259.881,21
0.103354,252.569,252.964,35
0.103362,219.763,219.368,47
0.10337,261.561,261.858,56
0.103378,270.109,269.763,63
0.103386,247.925,248.024,61
0.103394,254.051,253.953,115
0.103402,212.945,213.439,137
0.10341,259.881,259.881,147
0.103418,347.431,347.826,90
0.103426,385.968,386.364,45
0.103434,435.425,435.771,50
0.103443,349.16,348.814,137
0.103451,396.542,396.245,143
0.103459,358.3,358.696,140
0.103467,316.551,316.206,146
0.103475,300.395,300.395,180
0.103483,322.48,322.134,224
0.103491,260.87,260.87,311
0.103499,263.834,263.834,304
0.103507,325.099,325.099,302
0.103515,352.717,352.767,303
0.103524,287.055,287.549,323
0.103532,250.939,250.988,307
0.10354,272.085,271.739,237
0.103548,363.636,363.636,256
0.103556,393.972,394.269,252
0.103564,385.178,385.375,251
0.103572,307.312,307.312,244
0.10358,284.931,284.585,210
0.103588,294.466,294.466,171
0.103596,234.19,234.19,164
0.103605,238.142,238.142,165
0.103613,237.055,237.154,163
0.103621,290.02,290.514,134
0.103629,210.474,210.474,143
0.103637,211.166,211.462,167
0.103645,320.158,320.158,162
0.103653,323.024,323.123,130
0.103661,294.466,294.466,111
0.103669,283.597,283.597,110
0.103677,270.949,270.751,127
0.103685,260.87,260.87,152
0.103694,233.498,233.202,181
0.103702,319.516,319.17,274
0.10371,327.372,327.075,251
0.103718,325.642,326.087,250
0.103726,268.132,267.787,220
0.103734,317.836,318.182,223
0.103742,352.075,351.779,331
0.10375,261.215,260.87,261
0.103758,289.526,289.526,231
0.103766,234.881,235.178,218
0.103775,280.484,280.632,209
0.103783,274.704,274.704,176
0.103791,283.992,283.597,174
0.103799,383.399,383.399,229
0.103807,369.862,369.565,201
0.103815,379.842,379.447,208
0.103823,401.877,402.174,150
0.103831,397.233,397.233,168
0.103839,297.48,297.431,189
0.103847,293.083,293.478,118
0.103855,290.514,290.514,121
0.103864,353.113,352.767,117
0.103872,239.625,240.119,120
0.10388,283.202,283.597,109
0.103888,260.573,260.87,123
0.103896,262.204,261.858,106
0.103904,311.018,311.265,95
0.103912,301.383,301.383,60
0.10392,259.289,258.893,37
0.103928,279.644,279.644,37
0.103936,368.281,368.577,35
0.103945,425.494,425.889,32
0.103953,455.83,455.534,20
0.103961,354.249,354.743,12
0.103969,333.004,333.004,7
0.103977,287.401,287.549,2
0.103985,375.198,375.494,2
0.103993,337.549,337.945,11
0.104001,376.482,376.482,20
0.104009,276.779,276.68,34
0.104017,369.071,369.565,39
0.104026,347.431,347.826,32
0.104034,327.075,327.075,47
0.104042,327.372,327.075,41
0.10405,319.219,319.17,33
0.104058,314.723,315.217,24
0.104066,429.842,429.842,10
0.104074,382.708,382.411,7
0.104082,379.298,379.447,2
0.10409,393.775,394.269,0
0.104098,331.028,331.028,1
0.104106,310.771,311.265,1
0.104115,344.466,344.862,1
0.104123,401.235,401.186,1
0.104131,415.02,415.02,1
0.104139,380.138,380.435,1
0.104147,466.798,466.403,1
0.104155,493.379,493.083,0
0.104163,534.98,534.585,1
0.104171,536.561,536.561,1
0.104179,521.739,521.739,0
0.104187,536.561,536.561,1
0.104196,559.98,560.277,1
0.104204,623.518,623.518,2
0.104212,548.419,548.419,5
0.10422,539.822,539.526,8
0.104228,483.103,483.202,24
0.104236,499.209,499.012,59
0.104244,442.589,442.688,87
0.104252,431.818,431.818,77
0.10426,399.457,399.209,180
0.104268,466.798,466.403,161
0.104276,407.115,407.115,173
0.104285,285.573,285.573,172
0.104293,334.98,334.98,163
0.104301,374.407,374.506,152
0.104309,393.972,394.269,193
0.104317,448.617,448.617,202
0.104325,455.83,455.534,188
0.104333,369.219,369.565,185
0.104341,369.071,369.565,135
0.104349,477.273,477.273,153
0.104357,495.01,495.059,228
0.104366,529.2,529.644,202
0.104374,589.13,588.933,152
0.104382,514.476,514.822,131
0.10439,470.949,471.344,56
0.104398,407.806,408.103,60
0.104406,520.257,520.751,47
0.104414,552.717,552.372,147
0.104422,481.225,481.225,85
0.10443,465.415,465.415,70
0.104438,365.613,365.613,40
0.104446,343.874,343.874,42
0.104455,471.344,471.344,32
0.104463,465.415,465.415,16
0.104471,457.213,457.51,14
0.104479,422.925,422.925,8
0.104487,330.04,330.04,17
0.104495,282.955,282.609,58
0.104503,282.658,282.609,81
0.104511,255.929,255.929,115
0.104519,349.407,349.802,113
0.104527,415.02,415.02,164
0.104536,474.308,474.308,125
0.104544,362.994,362.648,125
0.104552,367.589,367.589,125
0.10456,384.387,384.387,175
0.104568,376.186,376.482,127
0.104576,343.478,343.874,127
0.104584,339.822,339.921,127
0.104592,345.85,345.85,133
0.1046,306.324,306.324,144
0.104608,276.235,276.68,178
0.104617,271.937,271.739,181
0.104625,332.312,332.016,198
0.104633,326.433,326.087,266
0.104641,299.308,299.407,247
0.104649,349.802,349.802,282
0.104657,288.538,288.538,239
0.104665,368.577,368.577,217
0.104673,292.836,292.49,231
0.104681,293.478,293.478,229
0.104689,225.296,225.296,223
0.104697,227.767,228.261,175
0.104706,281.966,281.621,222
0.104714,289.526,289.526,269
0.104722,243.775,244.071,196
0.10473,368.577,368.577,167
0.104738,352.767,352.767,118
0.104746,354.298,354.743,150
0.104754,354.249,354.743,147
0.104762,269.763,269.763,133
0.10477,272.332,272.727,175
0.104778,325.445,325.099,170
0.104787,309.289,309.289,155
0.104795,241.7,242.095,113
