time_s,max_queue_bytes
0.106211,232956
0.10622,213824
0.106228,265224
0.106236,276532
0.106244,264196
0.106252,268008
0.10626,257028
0.106268,265552
0.106276,274404
0.106284,276460
0.106292,274076
0.1063,287668
0.106309,302060
0.106317,318080
0.106325,332044
0.106333,348492
0.106341,367724
0.106349,386228
0.106357,399820
0.106365,399820
0.106373,399820
0.106381,399820
0.10639,399820
0.106398,396508
0.106406,383444
0.106414,371108
0.106422,399592
0.10643,399892
0.106438,399892
0.106446,399892
0.106454,399892
0.106462,399892
0.10647,399892
0.106479,399892
0.106487,399892
0.106495,399392
0.106503,399770
0.106511,399770
0.106519,399770
0.106527,399892
0.106535,399892
0.106543,399892
0.106551,399492
0.10656,394752
0.106568,399892
0.106576,399892
0.106584,399892
0.106592,399892
0.1066,399892
0.106608,399892
0.106616,399292
0.106624,399292
0.106632,399292
0.106641,399892
0.106649,399892
0.106657,399392
0.106665,399392
0.106673,399392
0.106681,399892
0.106689,399892
0.106697,399892
0.106705,399892
0.106713,399892
0.106721,399392
0.10673,399392
0.106738,399392
0.106746,399770
0.106754,399242
0.106762,396158
0.10677,349898
0.106778,323170
0.106786,311484
0.106794,357744
0.106802,399892
0.106811,399892
0.106819,399892
0.106827,399892
0.106835,399892
0.106843,399892
0.106851,399892
0.106859,399392
0.106867,399392
0.106875,399392
0.106883,394252
0.106891,341296
0.1069,287840
0.106908,258028
0.106916,237468
0.106924,249282
0.106932,258028
0.10694,249804
0.106948,248776
0.106956,269336
0.106964,297092
0.106972,313918
0.106981,373542
0.106989,374570
0.106997,367374
0.107005,329288
0.107013,288168
0.107021,251160
0.107029,212096
0.107037,168592
0.107045,152872
0.107053,148760
0.107062,130556
0.10707,167564
0.107078,251860
0.107086,268308
0.107094,239524
0.107102,191436
0.10711,142092
0.107118,92520
0.107126,44204
0.107134,34952
0.107142,61680
0.107151,94576
0.107159,127472
0.107167,140836
0.107175,112052
0.107183,59624
0.107191,32896
0.107199,1028
0.107207,1028
0.107215,1028
0.107223,1028
0.107232,1028
0.10724,1028
0.107248,1028
0.107256,1028
0.107264,1028
0.107272,1028
0.10728,1028
0.107288,27756
0.107296,122332
0.107304,194292
0.107312,226160
0.107321,225132
0.107329,222048
0.107337,218964
0.107345,215880
0.107353,212796
0.107361,244264
0.107369,275504
0.107377,305316
0.107385,336156
0.107393,367324
0.107402,399192
0.10741,399192
0.107418,399192
0.107426,396108
0.107434,349520
0.107442,306344
0.10745,262140
0.107458,205600
0.107466,149060
0.107474,92520
0.107482,40470
0.107491,40092
0.107499,46260
0.107507,10280
0.107515,1028
0.107523,1028
0.107531,1028
0.107539,1028
0.107547,1028
0.107555,1028
0.107563,1028
0.107572,1028
0.10758,1028
0.107588,1028
0.107596,1028
0.107604,1028
0.107612,14392
0.10762,80812
0.107628,158312
0.107636,203544
0.107644,246720
0.107653,290924
0.107661,334100
0.107669,378304
0.107677,399892
0.107685,399892
0.107693,399892
0.107701,399892
0.107709,399892
0.107717,399892
0.107725,399892
0.107733,399892
0.107742,399592
0.10775,399592
0.107758,399592
0.107766,399892
0.107774,399892
0.107782,399892
0.10779,399892
0.107798,399892
0.107806,399892
0.107814,399892
0.107823,399242
0.107831,379710
0.107839,330366
0.107847,255322
0.107855,244664
0.107863,289896
0.107871,314568
0.107879,343352
0.107887,375220
0.107895,399892
0.107903,399892
0.107912,399892
0.10792,399892
0.107928,399892
0.107936,399892
0.107944,399892
0.107952,399892
0.10796,399892
0.107968,399892
0.107976,399892
0.107984,399892
0.107993,399892
0.108001,399892
0.108009,399892
0.108017,399892
0.108025,353632
0.108033,298648
0.108041,243136
0.108049,186596
0.108057,125416
0.108065,72988
0.108074,104856
0.108082,134668
0.10809,129528
0.108098,100744
0.108106,69904
0.108114,63736
0.108122,111024
0.10813,123360
0.108138,91492
0.108146,23644
0.108154,1028
0.108163,1028
0.108171,1028
0.108179,28784
0.108187,44204
0.108195,48316
0.108203,31868
0.108211,39064
0.108219,63736
0.108227,89436
0.108235,116164
0.108244,140836
0.108252,167264
0.10826,193342
0.108268,219342
0.108276,252888
0.108284,284756
0.108292,322792
0.1083,368024
0.108308,399892
0.108316,399892
0.108324,399892
0.108333,399492
0.108341,399492
0.108349,399492
0.108357,399892
0.108365,399492
0.108373,399492
0.108381,399492
0.108389,399892
0.108397,399892
0.108405,399892
0.108414,399892
0.108422,399892
0.10843,388584
0.108438,393724
0.108446,393724
0.108454,390640
0.108462,399892
0.10847,399920
0.108478,399920
0.108486,399920
0.108494,399920
0.108503,399892
0.108511,399892
0.108519,399892
0.108527,399892
0.108535,399892
0.108543,399892
0.108551,399892
0.108559,399892
0.108567,399892
0.108575,399892
0.108584,399892
0.108592,399892
0.1086,399892
0.108608,399892
0.108616,399892
0.108624,399892
0.108632,399892
0.10864,399892
0.108648,399392
0.108656,399392
0.108665,399892
0.108673,399892
0.108681,399892
0.108689,399892
0.108697,399892
0.108705,399892
0.108713,399892
0.108721,399892
0.108729,399892
0.108737,399892
0.108745,399892
0.108754,399892
0.108762,396808
0.10877,388084
0.108778,376776
0.108786,365168
0.108794,328160
0.108802,286512
0.10881,248476
0.108818,210740
0.108826,237468
0.108835,292980
0.108843,349220
0.108851,399592
0.108859,399592
0.108867,399892
0.108875,399892
0.108883,399892
0.108891,399892
0.108899,399892
0.108907,399892
0.108915,399892
0.108924,399892
0.108932,399592
0.10894,399592
0.108948,399592
0.108956,399892
0.108964,399492
0.108972,383044
0.10898,347064
0.108988,305944
0.108996,263168
0.109005,262140
0.109013,266252
0.109021,252888
0.109029,200460
0.109037,148032
0.109045,95604
0.109053,43176
0.109061,64764
0.109069,166536
0.109077,267708
0.109086,369680
0.109094,399492
0.109102,378932
0.10911,332672
0.109118,324448
0.109126,318680
0.109134,329988
0.109142,338212
0.10915,336884
0.109158,316324
0.109166,294736
0.109175,279616
0.109183,278588
0.109191,270364
0.109199,270364
0.109207,275504
0.109215,285784
0.109223,292980
0.109231,301204
0.109239,311484
0.109247,332044
0.109256,347464
0.109264,359800
0.109272,365968
0.10928,371108
0.109288,376248
0.109296,376248
0.109304,364940
0.109312,350548
0.10932,352732
0.109328,398992
0.109336,399892
0.109345,399892
0.109353,399892
0.109361,393724
0.109369,358772
0.109377,358772
0.109385,358772
0.109393,358900
0.109401,358900
0.109409,358900
0.109417,356844
0.109426,322392
0.109434,273048
0.109442,249932
0.10945,198532
0.109458,135196
0.109466,120276
0.109474,223076
0.109482,331016
0.10949,399892
0.109498,399892
0.109506,395780
0.109515,380360
0.109523,364940
0.109531,342324
0.109539,290924
0.109547,238496
0.109555,188124
0.109563,137102
0.109571,86030
0.109579,37008
0.109587,11308
0.109596,13364
0.109604,1028
0.109612,1028
0.10962,1028
0.109628,1028
0.109636,1028
0.109644,28784
0.109652,59624
0.10966,91492
0.109668,123360
0.109677,155228
0.109685,187096
0.109693,217936
0.109701,243636
0.109709,239524
0.109717,233784
0.109725,271820
0.109733,271820
0.109741,260084
0.109749,244664
0.109757,206628
0.109766,167564
0.109774,130556
0.109782,95604
0.10979,113080
0.109798,147004
0.109806,178872
0.109814,211768
0.109822,243636
0.10983,276532
0.109838,310884
0.109847,343780
0.109855,377704
0.109863,399292
0.109871,399892
0.109879,399892
0.109887,354660
0.109895,292980
0.109903,223804
0.109911,153900
0.109919,94276
0.109927,21588
0.109936,1028
0.109944,1028
0.109952,1028
0.10996,17476
0.109968,65792
0.109976,76072
0.109984,127472
0.109992,129528
0.11,143920
0.110008,199432
0.110017,244664
0.110025,317652
0.110033,378304
0.110041,375220
0.110049,336156
0.110057,323820
0.110065,313540
0.110073,235412
0.110081,173732
0.110089,143920
0.110098,78128
0.110106,50372
0.110114,92520
0.110122,114108
0.11013,138780
0.110138,180928
0.110146,228216
0.110154,277560
0.110162,329988
0.11017,375220
0.110178,382416
0.110187,399892
0.110195,399892
0.110203,399892
0.110211,399892
0.110219,399892
0.110227,399892
0.110235,399892
0.110243,399892
0.110251,399892
0.110259,399392
0.110268,399392
